id,title,context,question,answers
76,Graveler,Graveler its a Rock first generation Pokemon that Graveler has an Alolan form that is a Rock/Electric type. It appears as a large rock that has two large arms and two small arms. This appearance suggests that the smaller arms are the old Geodude arms and the new ones emerged as it grew larger.,Whats the type of Graveler?,"{'answer_start': [15], 'text': ['Rock']}"
77,Golem,"Golem its a Rock first generation Pokemon that Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon's course. Golem has an Alolan form that is a Rock/Electric type. It appears as a large boulder that has a head, arms, and legs. It can roll up into a perfectly round rock. Its Alolan form is magnetic and has a rock cannon on its shoulders.",Whats the type of Golem?,"{'answer_start': [12], 'text': ['Rock']}"
78,Ponyta,"Ponyta its a Fire first generation Pokemon that Its Galarian form is a Psychic type. When born, it cannot stand and runs with its parents to strengthen its legs. It can choose when its flames can burn people or not.",Whats the type of Ponyta?,"{'answer_start': [13], 'text': ['Fire']}"
79,Rapidash,"Rapidash its a Fire first generation Pokemon that As a popular Pokémon, Rapidash is considered ""universally appealing"" to fans of cute and cool Pokémon alike. Both Ponyta and Rapidash can enable their body's flames to be harmful or harmless as seen in the anime. Its Galarian form is a Psychic/Fairy type, and is pinkish purple in color instead. It just loves to run. It can't help itself when it see a car or anything fast. A very competitive pokemon, if it sees anything faster than it, it will go full speed in 10 steps to out run it at 150mph. At that point, its hooves barely touch the ground because it's moving so fast, it can traverse all of Hisui in a day and a half. The faster it goes, the longer its fiery mane becomes. Otherwise it can be seen cantering in fields.",Whats the type of Rapidash?,"{'answer_start': [15], 'text': ['Fire']}"
80,Slowpoke,"Slowpoke its a Water first generation Pokemon that It's really slow-witted, oblivious and likes to loll about. It takes 5 seconds for it to feel pain when attacked. Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge. Even if its tail is bitten off, it won't feel it or notice. Although not nutritious, its tail is pleasant to chew on. When soaked in water, a sweet sap leaks from the tip of its tail. It can be added to stews for a nice flavor. Alolan homes often cook by simmering dried Slowpoke tails into a salty stew. Its tail naturally falls off, but don't worry though, it regenerates its tail back quickly. There are some places where it's worshipped because of a long standing belief that when a Slowpoke yawns, it rains. Its Galarian form is a Psychic type. Trading Slowpoke while it holds a King's Rock evolves it into Slowking.",Whats the type of Slowpoke?,"{'answer_start': [15], 'text': ['Water']}"
81,Slowbro,"Slowbro its a Water first generation Pokemon that Slowpoke has fished up a Shellder with its tail, which shocked it into evolving and made it stand on two legs. The Shellder apparently likes the taste of its tail so much it feels like it a dream, and now refuses to let go, which has metamorphosed into a spiral shaped shell. If the Shellder were to detach itself from Slowbro in any way, it will devolve back to Slowpoke. The Shellder is said to feed off of Slowbro's leftover scraps as it lives lazily by the sea. Being slow witted to begin with, it doesn't feel anything because of Shellders seeping poison. Since its tail has been bit by Shellder, it now has to grudgingly swim for prey instead. Whenever Shellder bites down on its tail, it gives Slowbro a flash of inspiration, which it forgets a moment later. Its Galarian form is a Poison/Psychic type. The appearance of the Shellder is different from how they normally look. In the Gold and Silver demo, the Shellder was its own Pokemon, named Turban, before it was scrapped.",Whats the type of Slowbro?,"{'answer_start': [14], 'text': ['Water']}"
82,Magnemite,"Magnemite its a Electric first generation Pokemon that It was a pure Electric type in Kanto, but had the Steel type added in Gold and Silver. It tends to appear without warning and uses anti gravity to float around. The two units on its side are like magnets and used for discharging attacks. It's attracted to electromagnetic waves from devices such as using your Pokegear, and it attaches itself to power breakers. If you experience a power outage that isn't from a storm, it could be Magnemites feeding on it. It becomes incapable of flight if it out of electricity. When that happens, giving it a battery should help it out. The two magnets on its side are powerful enough to draw in iron objects from 300 feet away. The faster they rotate, the greater the magnetic field it generates. Touching it while it's eating electricity will give you a full body shock. Radio towers and power plants are great sources of food for them. The reason why the numbers have been decreasing is because most power lines are buried these days.",Whats the type of Magnemite?,"{'answer_start': [16], 'text': ['Electric']}"
83,Magneton,"Magneton its a Electric first generation Pokemon that Formed when several Magnemites fuse together, it tends to raise the temperature up by 3.6°F within 3,600 ft. It generates strange radio signals and they tend to gather where sun flares happen. Earaches can occur if you get close to one. Its magnetism is so powerful it dries up moisture in its vicinity, and it's fatal to devices if it were to go near one as devices like TVs will stop playing correctly. When many Magneton gather, it disrupts radio signals. As a result, large cities have sirens to warn their citizens of this occurrence and some even warn people to keep it inside their Pokeballs. When it evolves, their brains link up too, though they don't become three times smarter. When rain clouds form, they like to gather in high spots where lightning could strike. It seems that Sandy Shocks is a futuristic relative of it. It evolves into Magnezone while in range of a special magnetic field or a Thunder Stone in later games.",Whats the type of Magneton?,"{'answer_start': [15], 'text': ['Electric']}"
84,Farfetch'd,"Farfetch'd its a Normal first generation Pokemon that Farfetch'd is a duck-like Pokémon that carries around a green onion stalk much like a sword. It apparently knows where the best ones are and will battle over them. It will eat them in emergencies, then it'll run off to find a new one. They were so rare at one point that people bred them to regrow the population, and it worked. There are good stalks and bad stalks, and since it can't live with out them, it will defend it with its life. It was originally called ""Okupan"" in early development and was intended to have an evolution named ""Madame"" in Generation II's early development. Its Galarian form is a Fighting type, appears to resemble a feudal Japan-style samurai or ronin, and uses a larger onion-stalk. In Pokémon Go, it is exclusive to certain regions of Asia.",Whats the type of Farfetch'd?,"{'answer_start': [17], 'text': ['Normal']}"
85,Doduo,"Doduo its a Normal first generation Pokemon that This 2 headed bird leaves giant footprints. Its short wings make flying difficult. Instead, it runs at high speed on well-developed legs at over 60 mph. It races through grassy plains with powerful strides, leaving footprints up to four inches deep. By alternately raising and lowering its two heads, it balances itself to be more stable while running. Doduo's two heads never sleep or eat at the same time. Its two heads take turns to sleep or eat, so one head can always keep watch for enemies while the other one sleeps. Doduo's two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of Doduo possessing different sets of brains. The brains in its two heads appear to communicate emotions to each other with telepathic power. It was originally intended to have a pre-evolution in Generation II. It appears to resemble a two-headed ostrich or emu, mixed with a roadrunner.",Whats the type of Doduo?,"{'answer_start': [12], 'text': ['Normal']}"
86,Dodrio,"Dodrio its a Normal first generation Pokemon that The three heads express joy, sorrow, and anger as they plan strategy together. When it sleeps, one head remains awake. Dodrio are extremely fast runners. The three heads have colored feathers, which also appear as tail-feathers.",Whats the type of Dodrio?,"{'answer_start': [13], 'text': ['Normal']}"
87,Seel,"Seel its a Water first generation Pokemon that It loves swimming around in 14°F waters. Its horn is really hard, and it uses it to bash its way through ice. It has a thick hide covered in warm fur. It even goes in waters that can be up to -40°F. Though it's not a great walker, it is a skilled swimmer. It closes its nostrils when it swims and in the daytime, it can be found sleeping on the seabed of shallow waters. Therefore, them being in Alola is quite a mystery. Its design is based on the real-life seal.",Whats the type of Seel?,"{'answer_start': [11], 'text': ['Water']}"
88,Dewgong,Dewgong its a Water first generation Pokemon that A fisherman once saw a Dewgong on an iceberg and thought it was a mermaid. Its design is based on the real-life dugong.,Whats the type of Dewgong?,"{'answer_start': [14], 'text': ['Water']}"
89,Grimer,"Grimer its a Poison first generation Pokemon that It eats sewer waste for food. Its body is very slippery, so it can slip through almost any opening. It was one of the earliest Pokémon to be created, and was originally supposed to have a pre-evolution, ""Betobebi"", in Generation II. Grimer has an Alolan form that is a Poison/Dark type. It appears as a purple sludge, while its Alolan form is multiple colours.",Whats the type of Grimer?,"{'answer_start': [13], 'text': ['Poison']}"
90,Muk,"Muk its a Poison first generation Pokemon that Muk's English name comes from the word ""muck"". It could be based on Dorotabō, a one-eyed, three-fingered yōkai that rises from the mud of neglected, overgrown rice fields.[citation needed] It's covered in a toxic filthy sludge that is so vile, that plants die wherever it walks due to there being poison it is footprints. Just a drop of its body fluid can turn a pool rancid or leave a person bed ridden for days from poisoning. Its nose has devolved, so it can't really smell anything. It feeds on anything repugnant and filthy, like sewer water. It prefers warm and humid environments. Its numbers have started declining since people have began cleaning up towns,and because some people think it may go extinct, sludge pools are being built to prevent this. Muk has an Alolan form that is a Poison/Dark type. Like Grimer, Alolan Muk has multiple colours, and now bears razor-sharp poisonous crystal-esque teeth.",Whats the type of Muk?,"{'answer_start': [10], 'text': ['Poison']}"
91,Shellder,"Shellder its a Water first generation Pokemon that When it sleeps, it will still stick its tongue out. It appears as a typical clam or bivalve with a long, pink tongue.",Whats the type of Shellder?,"{'answer_start': [15], 'text': ['Water']}"
92,Cloyster,"Cloyster its a Water first generation Pokemon that It swims by pushing water out through its valves. It is similar to Shellder, but rotated 180 degrees. Its body looks like a black ball inside a clam's shell. It has no tongue though.",Whats the type of Cloyster?,"{'answer_start': [15], 'text': ['Water']}"
93,Gastly,"Gastly its a Ghost first generation Pokemon that It is a Ghost-type Pokémon based on the will-o'-the-wisp and the yokai, Sōgenbi. It hides under structures to stop the wind from blowing away its gaseous matter. Though it is part-Poison, it typically doesn't learn Poison type moves naturally. It uses its signature tongue when it attacks with the Lick move.",Whats the type of Gastly?,"{'answer_start': [13], 'text': ['Ghost']}"
94,Haunter,"Haunter its a Ghost first generation Pokemon that By licking, it saps the victim's life. It causes shaking that won't stop until the victim's demise. It appears as a menacing shadow with eyes, a mouth, and two unattached hands.",Whats the type of Haunter?,"{'answer_start': [14], 'text': ['Ghost']}"
95,Gengar,"Gengar its a Ghost first generation Pokemon that Gengar is a Ghost type Pokemon that seeps into the shadows of people and Pokemon to scare them for fun. The Leer in the darkness belongs to a Gengar. If you feel an attacking sudden chill of 10°F cooler, its trying to curse you. If it does this, there's no escape. Give up. Even your home isn't safe. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey. It likes to attack people in the mountains. Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It's actually a Gengar running past you, pretending to be your shadow. It often tries to steal the life force of people. It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans. If your shadow begins to laugh, you must take hold of a protective charm immediately! Initially created by Satoshi Tajiri and Ken Sugimori, it has become one of the most popular Pokémon, placing tenth on the Google Pokémon of the Year 2020 poll. Kotaku's Zack Zwiezen said Gengar was ""one of [their] favorite gen 1 designs"", calling it a ""great design [because] it’s simple, yet not boring or generic"". Gengar has appeared in many Pokémon spin-offs or crossovers, including Pokkén Tournament and Pokémon Unite.",Whats the type of Gengar?,"{'answer_start': [13], 'text': ['Ghost']}"
96,Onix,"Onix its a Rock first generation Pokemon that Onix is a large rock snake with a spike on its head. It usually lives underground. As it grows, the stone portions of its body harden to become similar to a diamond, but colored black. It burrows at high speed in search of food, and the tunnels it leaves are used as homes by Diglett. Its large body is over 26 feet long, yet despite its size, it can squirm its way through the ground at 50 mph. The thunderous roar of its tunneling echoes a long way. As it digs through the ground, it absorbs many hard objects and this is what makes its body so solid. It even eats boulders while digging. Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother. It evolves into Steelix when traded while holding a Metal Coat.",Whats the type of Onix?,"{'answer_start': [11], 'text': ['Rock']}"
97,Drowzee,"Drowzee its a Psychic first generation Pokemon that Drowzee's design is based on the dream-eating tapir, Baku. It puts people to sleep and then it likes to eat dreams. It can get sick from eating bad ones though. If you sleep by it a lot, it might show you dreams it ate in the past. It's said to have descended from a legendary beast called Baku. If you had a dream but can't remember it, Drowzee probably ate it. It remembers every dream it ate and it rarely eats the dreams of adults because children's are so much tastier. If your nose gets itchy while you're sleeping, dowzee is probably right above your bed eating your dream through your nostrils. It's skilled in hypnotism. It can tell what your dreaming by smelling it. Drowzee appears as a half-yellow-half-brown Pokémon that stands on two legs, and its size varies. In later generations, it is given the Insomnia trait, making it immune to Sleep status inflicting moves.",Whats the type of Drowzee?,"{'answer_start': [14], 'text': ['Psychic']}"
98,Hypno,"Hypno its a Psychic first generation Pokemon that Hypno's design is based on the dream-eating tapir, Baku and a hypnotist. It polishes its pendulum to more effectively put people to sleep. Try not to look at it. There is a myth within the franchise that Hypno preys on human children. This has led to Hypno becoming the subject of creepypastas. Hypno is purely yellow with a white fluffy collar mane.",Whats the type of Hypno?,"{'answer_start': [12], 'text': ['Psychic']}"
99,Krabby,"Krabby its a Water first generation Pokemon that As its name states, it is a crab Pokémon that is half white/tan and half orange. In the anime, it doesn't speak its name like other Pokémon and instead makes a unique noise.",Whats the type of Krabby?,"{'answer_start': [13], 'text': ['Water']}"
100,Kingler,"Kingler its a Water first generation Pokemon that Because its pincer is so heavy, it has a hard time fighting. When it does hit, it is very powerful. Only Kingler can use Crabhammer, due to its large claw. It shares a similarity to real life fiddler crabs. Its Gigantamax form is bigger with a beard made of bubbles. It also uses acid bubbles to dissolve its prey or foes.",Whats the type of Kingler?,"{'answer_start': [14], 'text': ['Water']}"
101,Voltorb,"Voltorb its a Electric first generation Pokemon that Voltorb and Electrode are considered some of the least popular Pokémon due to their Pokéball-esque designs. Even the slightest bit of electricity can make an Electrode explode. That is why it is nicknamed the ""Bomb Ball"". In the video games, Voltorb and Electrode are typically used as landmine traps by villains. It has a Hisuian form that is Electric/Grass type. This Voltorb evolves by leaf stone.",Whats the type of Voltorb?,"{'answer_start': [14], 'text': ['Electric']}"
102,Electrode,Electrode its a Electric first generation Pokemon that End of evolution,Whats the type of Electrode?,"{'answer_start': [16], 'text': ['Electric']}"
103,Exeggcute,"Exeggcute its a Grass first generation Pokemon that Six of them together form a full-fledged Pokémon. It is often hunted by Crabrawler, but uses psychokinesis to drive it off. Despite technically being several different lifeforms, they are never seen alone. There is also one that appears to be broken with yolk visible. It evolves into Exeggutor using a Leaf Stone. Despite the name, they are actually seeds.",Whats the type of Exeggcute?,"{'answer_start': [16], 'text': ['Grass']}"
104,Exeggutor,"Exeggutor its a Grass first generation Pokemon that It is a coconut tree-esque Pokémon based on the Jinmenju and the favorite Pokémon of Tsunekazu Ishihara, president and CEO of The Pokémon Company, having used it throughout the debugging phase of Pokémon Red and Green. Its 3 heads think independently of one another, but if they want to go in different directions, they'll be unable to move. That's why they use telepathy to make a joint decision. Sometimes one of the heads grows so big, due to the sun, that they tend to fall off and become an Exeggcute. Its cries are very noisy because each head thinks about what it likes. Surprisingly, they're very friendly and only engage their enemies with psychic power when it needs to. It originally came from the tropics, so it's known as the ""Walking Forest"" and each head doesn't seem to be interested in one another. Cloudy days make it sluggish. Exeggutor has an Alolan form that is a Grass/Dragon type and has a really long trunk-esque neck.",Whats the type of Exeggutor?,"{'answer_start': [16], 'text': ['Grass']}"
105,Cubone,"Cubone its a Ground first generation Pokemon that Because it never removes its skull helmet, no one has ever seen this Pokémon's real face. It wears the skull of its deceased mother that it lost. If it's sad or lonely, its skull shakes and its cries echo inside the skull and come out as a sad melody. It cries mournfully in the moonlight. Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds. When it thinks of its deceased mother, it weeps loudly. Mandibuzz, its natural enemy, that hear its cries will attack it from the air. According to some, it will evolve when it comes to terms with the pain of her death. Sometimes Cubone's dreams make it cry, but each tear Cubone sheds makes it stronger. .",Whats the type of Cubone?,"{'answer_start': [13], 'text': ['Ground']}"
106,Marowak,Marowak its a Ground first generation Pokemon that Marowak appears as an older Cubone with the skull becoming the head. It wields a bone that it uses as a boomerang. This is the only Pokémon that can use the Bonemurang attack. It also has an Alolan form that is a Ghost/Fire type that uses its mothers spirit as a flame at the end of its bones.,Whats the type of Marowak?,"{'answer_start': [14], 'text': ['Ground']}"
107,Hitmonlee,"Hitmonlee its a Fighting first generation Pokemon that Hitmonlee's design is based on Headless men, from Greco-Roman mythology. It may also be based on Kabandha, a demon from Hindu mythology. Its English name is derived from actor and martial artist Bruce Lee. When it's in a hurry, its legs strengthen progressively. It smoothly runs with extra long strides. When kicking, the soles of its feet turn as hard as diamond as its legs freely stretch to destroy its foes. It has amazing balance, able to attack from any stance. Some people call it the ""Kicking Master."" After a battle it rubs down its springy legs to overcome fatigue. Its legs can stretch to double its length, so first time fighters are amazed by its extendable reach. Hitmonlee and Hitmonchan didn't have a distinct evolutionary line until Tyrogue and Hitmontop were conceived. Hitmonlee evolves from Tyrogue if it has higher attack stats.",Whats the type of Hitmonlee?,"{'answer_start': [16], 'text': ['Fighting']}"
108,Hitmonchan,"Hitmonchan its a Fighting first generation Pokemon that Its English name is derived from actor and martial artist Jackie Chan. It can punch so fast, while one might think it's just standing there, it actually can punch foes in lightning fast attacks that can slice air, faster than the eye can see. Though it needs to rest for a couple minutes after doing so as it moves around. It winds it arms to punch harder and it does it punches in a corkscrew fashion, hard enough to break through concrete walls like a drill. Even a slight graze can cause a burn. A Hitmonchan is said to possess the spirit of a boxer who had been working towards a world championship. It has an indomitable spirit and will never give up when things get tough. It evolves from Tyrogue if it has higher defence stats.",Whats the type of Hitmonchan?,"{'answer_start': [17], 'text': ['Fighting']}"
109,Lickitung,"Lickitung its a Normal first generation Pokemon that Instead of its hands, it uses its adept long tongue. It uses its tongue to paralyze bug pokemon to eat them whole. If it licks you, it will leave a tingling sensation. If you don't wash it off immediately, it will break out into a itchy rash that won't go away. Its tongue can stretch up to 6'6 and when it does, its tail quivers and contracts. It has nerves that run through its tongue so it can use it quite freely. It licks filthy things clean but whatever it clean always stinks afterwards so it's really questionable whether or not it's truly clean. Whenever Lickitung cones across something new, it always gives it a lick to memorize the taste and texture of that thing. It doesn't care for sour things. If you boil its viscous saliva down, it becomes quite a strong adhesive. It evolves into Lickilicky while knowing Rollout.",Whats the type of Lickitung?,"{'answer_start': [16], 'text': ['Normal']}"
110,Koffing,"Koffing its a Poison first generation Pokemon that Koffing is based on air pollution and meteorites. Sometimes, it can over-inflate itself and explode. It appears as a floating space-rock with several gas vent holes that expel its fumes. It also has a skull and crossbones style marking on its chest. Koffing was Team Rocket member James' starting Pokémon.",Whats the type of Koffing?,"{'answer_start': [14], 'text': ['Poison']}"
111,Weezing,"Weezing its a Poison first generation Pokemon that Weezing belonged to James of Team Rocket in the Kanto and Johto series of the Pokémon anime and for a small portion of the Advanced Generation series. It likes to raid trash can for food. To make its poison more toxic, it pushes its gas through its two heads. Its Galarian form is a Poison/Fairy type. It appears as three different sized Koffing rocks merged, with a face on both of the bigger ones.",Whats the type of Weezing?,"{'answer_start': [14], 'text': ['Poison']}"
112,Rhyhorn,"Rhyhorn its a Ground first generation Pokemon that Its tackles can demolish skyscrapers but its memory isn't the best. Once it starts going, it sometimes cannot remember why it started. It appears as a rhinoceros-like creature made of diamond hard rock.",Whats the type of Rhyhorn?,"{'answer_start': [14], 'text': ['Ground']}"
113,Rhydon,"Rhydon its a Ground first generation Pokemon that Rhydon was the first Pokémon created by Game Freak. Its hide is very tough. Unlike Rhyhorn, it stands bipedal. It eventually gained an evolution, Rhyperior, after being traded with a Protector.",Whats the type of Rhydon?,"{'answer_start': [13], 'text': ['Ground']}"
114,Chansey,"Chansey its a Normal first generation Pokemon that In generation II, Blissey (#242) was added, and in generation IV, Happiny (#440) was added, however Chansey was initially a stand-alone Pokémon. It appears as a pink oblong shaped creature with stubby arms and feet. It carries eggs in its pouch and is typically used by Pokémon Centres for the egg's healing properties.",Whats the type of Chansey?,"{'answer_start': [14], 'text': ['Normal']}"
115,Tangela,"Tangela its a Grass first generation Pokemon that Blue plant vines cloak the Pokémon's identity in a tangled mass. It entangles anything that gets close. It also resembles the severed head of the gorgon, Medusa. It gained an evolution, Tangrowth, in Generation IV and was going to have a pre-evolution in Generation II.",Whats the type of Tangela?,"{'answer_start': [14], 'text': ['Grass']}"
116,Kangaskhan,"Kangaskhan its a Normal first generation Pokemon that Kangaskhan in Pokémon Go is exclusively available to Australia. It was the second Pokémon created by Game Freak after Rhydon. It carries a baby Kangaskhan in its pouch until it grows up. In the anime series, they live in groups.",Whats the type of Kangaskhan?,"{'answer_start': [17], 'text': ['Normal']}"
117,Horsea,"Horsea its a Water first generation Pokemon that Horsea and Seadra are based on seahorses. In the occurrence of a big wave, Horsea will curl its tail around tough coral branches to help it not to be washed away. Horsea evolves into Seadra, which appears as a slightly bigger version of it. The spikes on its body are poisonous. It evolves into Kingdra when traded while it holds a Dragon Scale. Seadra is a clever Pokemon that's capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail. Touching the back fin causes numbness, and it hooks its tail to coral to stay in place while sleeping. Fainting may result from a jab of its sharp spikes. When an examination of its cells revealed the presence of a gene not found in Horsea, it immediately became a hot topic. Its fin tips leak poison, and its fins and bones are highly valued as ingredients in herbal medicine. Seadra sleeps after wriggling itself between the branches of coral and those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it. Seadra generates whirlpools by spinning its body, and the whirlpools are strong enough to swallow even fishing boats. It weakens prey with these currents, then swallows it whole, and while Seadra's mouth is slender, its suction power is strong. In an instant, it can suck in food that's larger than the opening of its mouth. The males that raise the offspring. While Seadra are raising young Horsea, the spines on their backs secrete thicker and stronger poison.",Whats the type of Horsea?,"{'answer_start': [13], 'text': ['Water']}"
118,Seadra,Seadra its a Water first generation Pokemon that Kingdra (#230),Whats the type of Seadra?,"{'answer_start': [13], 'text': ['Water']}"
119,Goldeen,"Goldeen its a Water first generation Pokemon that Goldeen and Seaking are based on goldfish. Goldeen was originally intended to have a pre-evolution called ""Gyopin"". Goldeen are white and orange. Seaking are larger than Goldeen, and appear with an orange-and-black colouration.",Whats the type of Goldeen?,"{'answer_start': [14], 'text': ['Water']}"
120,Seaking,Seaking its a Water first generation Pokemon that End of evolution,Whats the type of Seaking?,"{'answer_start': [14], 'text': ['Water']}"
121,Staryu,"Staryu its a Water first generation Pokemon that Staryu, known as the Star Shape Pokémon, is a basic, Water type Pokémon which resembles a starfish with a mechanical center on its body, housing a red jewel. This is known as its core, but it is actually an organ.",Whats the type of Staryu?,"{'answer_start': [13], 'text': ['Water']}"
122,Starmie,"Starmie its a Water first generation Pokemon that Starmie, known as the Mysterious Pokémon, resembles a sea star. Starmie appears to have a second star growing on its back, which is semi-attached, being able to spin 360°. Starmie has a red jewel core, which resembles a cut precious stone and seems to shine with the seven colors of the rainbow when looked at from different angles, but usually shows up red more than any other color. It can also emit electrical waves from the core that are powerful enough to reach the furthest parts of the universe. The appearance of Starmie is two purple starfish connected back to back with only one having the gemstone on it.",Whats the type of Starmie?,"{'answer_start': [14], 'text': ['Water']}"
123,Mr._Mime,"Mr._Mime its a Psychic first generation Pokemon that Its an unbelievably skilled mime that loves to pantomime people into believing it exists. If they do believe it, it becomes real. It can also create barrier by vibrating the air solid with its fingertips. If it's interrupted, it will slap them with its large broad hands. Scientists think that the reason it has such large hands is for pantomiming. Its Galarian form is an Ice/Psychic type. In the anime, Ash's mom has a Mr. Mime as a housekeeping helper. Mr. Mime is known for creating invisible barriers. Despite being found in both male and female genders, the name never changes. Mr. Mime are exclusive to Europe in Pokémon Go.",Whats the type of Mr._Mime?,"{'answer_start': [15], 'text': ['Psychic']}"
124,Scyther,"Scyther its a Bug first generation Pokemon that IGN and GamesRadar have praised Scyther's ""cool"" design. Scyther is known as a Mantis Pokémon, and with its ninja like movements, it can appear like there's more than one at a time. It can slice thick logs with a single wicked stroke and on rare occasions, it flies with its wings. It's very proud of its speed, its so fast that when it cuts grass, foes will only see a blur, and it doesn't help that it camouflages with the grass, too. It's very popular in Alola. While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds. It evolves into Scizor after being traded while holding a Metal Coat. When given the Black Augurite, it evolves into Kleavor.",Whats the type of Scyther?,"{'answer_start': [14], 'text': ['Bug']}"
125,Jynx,"Jynx its a Ice first generation Pokemon that Jynx has spawned controversy due to aspects of its design being similar to blackface, leading Game Freak to change the color of its skin from black to purple. When Pokémon Yellow was rereleased on the Nintendo 3DS Virtual Console, the in-game sprite of Jynx was edited to reflect this change. Jynx's appearance is a purple humanoid with blond hair and a dress. It has big lips that it uses to put opponents to sleep by kissing them. It evolves from Smoochum.",Whats the type of Jynx?,"{'answer_start': [11], 'text': ['Ice']}"
126,Electabuzz,"Electabuzz its a Electric first generation Pokemon that It gathers near power plants to feast on electricity. In the dark, it glows a whitish-blue colour. In Generation II it gained a pre-evolution, Elekid, and in Generation IV it gained an evolution, Electivire.",Whats the type of Electabuzz?,"{'answer_start': [17], 'text': ['Electric']}"
127,Magmar,"Magmar its a Fire first generation Pokemon that While Magmar was voted the eighth best fire-type Pokémon by the Official Nintendo Magazine readers, GamesRadar had criticised its design multiple times, noting that its forehead resembles a butt. Magmar evolves from Magby and into Magmortar. It is famed for being the first Pokémon to use Fire Punch, and is one of gym leader Blaine's best Pokémon. Ash Ketchum, being the genius that he is, tried to fight this Fire-type with his own Fire-type, Charizard.",Whats the type of Magmar?,"{'answer_start': [13], 'text': ['Fire']}"
128,Pinsir,"Pinsir its a Bug first generation Pokemon that It likes to throw things with its massive horns. It can throw things two times from its weight. It was originally supposed to have an evolution called ""Plux"" in Generation II. Some speculated this unused design was reworked into Heracross. Pinsir appears as a tan-brown bug, similar in a appearance to an earwig with its pinchers on its head, and a vertical slit like mouth. Its Mega Evolution has wings.",Whats the type of Pinsir?,"{'answer_start': [13], 'text': ['Bug']}"
129,Tauros,"Tauros its a Normal first generation Pokemon that When attacking, it violently charges while whipping its self with its three tails. A really rowdy and hyper pokemon, once it charges, it won't stop until it hits something. Although powerful, it can only charge in a straight line. They fight each other by locking horns to prove their strength, and the leader prides itself with its battle scared horns. If there's no opponents, it will charge into thick trees, knocking them down. Historically, people have ridden Tauros for ages, but the practice started in Alola, and Tauros in Alola actually have a calm side, most likely due to the climate. Tauros in Galar though are more volatile and won't let people ride on them. In Paldea, it has 3 other forms, with it now being a fighting type along with a Fighting/Fire and a Fighting/Water type. It is exclusive to North America in Pokémon Go.",Whats the type of Tauros?,"{'answer_start': [13], 'text': ['Normal']}"
130,Magikarp,"Magikarp its a Water first generation Pokemon that Magikarp holds the distinction of being mostly useless in the games, until it evolves into the superior Gyarados. Magikarp is based on the common carp. Despite its uselessness, some players like to raise their Magikarps up to level 100 just for fun. At level 15, Magikarp learns Tackle. Until then, it only knows Splash and cannot be taught any TMs or HMs.",Whats the type of Magikarp?,"{'answer_start': [15], 'text': ['Water']}"
131,Gyarados,"Gyarados its a Water first generation Pokemon that In the beta versions for Pokémon Red and Blue, Gyarados was originally named ""Skullkraken"". Gyarados is inspired by the myth of a carp jumping over the Dragon Gate. Its vicious and raging attitude can decimate cities. It originally had a completely different, more lamprey-esque design in Red and Green's early development. It is known to be a hard Pokémon to raise by inexperienced trainers. The shiny version is red, and plays a role in the series. It appears normally as a long blue sea dragon, despite not being Dragon-type. It is also the only Flying type that doesn't fly; instead of this, it can hover.",Whats the type of Gyarados?,"{'answer_start': [15], 'text': ['Water']}"
132,Lapras,"Lapras its a Water first generation Pokemon that It has a very gentle nature and was hunted before it became illegal. Gigantamax Lapras is exclusive to Shield. Lapras is based on the Loch Ness Monster and the plesiosaur. In the games, any Pokémon that uses Surf appears in the overworld as a Lapras or a Mantine. Its Gigantamax form has ""water magic"" around it.",Whats the type of Lapras?,"{'answer_start': [13], 'text': ['Water']}"
133,Ditto,"Ditto its a Normal first generation Pokemon that Ditto is capable of transforming into any Pokémon that it comes across. It was originally intended to have an evolution in Generation II called ""Animon"" which it would have evolved from a Metal Coat. Fan speculation is that Ditto and Mew are related as Mew can also use Transform, a move exclusive to Ditto. In the anime, Ditto belonging to Duplica had an issue with accurately mimicking appearances where its face always looked like Ditto's own. It appears as a pink blob or amoeba.",Whats the type of Ditto?,"{'answer_start': [12], 'text': ['Normal']}"
